x,Australia_m_15-34,Australia_m_35-64,Australia_m_65+,Australia_w_15-34,Australia_w_35-64,Australia_w_65+,Canada_m_15-34,Canada_m_35-64,Canada_m_65+,Canada_w_15-34,Canada_w_35-64,Canada_w_65+
15,0.014649390897007631,0.01689767266337806,0.017288986878876374,0.014330270007804355,0.01671918249538257,0.014769384387867728,0.016334812733972456,0.017541613539857066,0.01811909163007515,0.0152568194075281,0.016813321630094726,0.015353920660000214
16,0.014003005399988085,0.016173368655548373,0.0165020967257398,0.013339024079017837,0.015630640389673232,0.013674755534212645,0.015605500861225495,0.016764688538415132,0.01725302374655238,0.014126830218591561,0.015641510872661864,0.014098118733435147
17,0.013399331563931112,0.015496523098956981,0.015767720060806043,0.012434245974437656,0.014634039379577883,0.01267950978871053,0.014924557132083814,0.016039160330846628,0.01644576983069268,0.01309939265777729,0.014572350065069201,0.012963693373628595
18,0.012833720047922602,0.014861943300770454,0.015080169520712007,0.011605637315748369,0.013718474158626022,0.011771708460761475,0.014286726928501544,0.015359437754205112,0.015691004449486973,0.012162188703265036,0.01359360457331329,0.011935771030241463
19,0.012302275420340056,0.014265282903359402,0.01443467475959275,0.010844579657192835,0.012874832519594585,0.010941345215210839,0.013687605872854185,0.014720835659838276,0.014983412636060393,0.011304894222359408,0.012695033699415662,0.011001867144270759
20,0.011801697617285403,0.013702863470315366,0.013827190147546235,0.010143782280809952,0.012095416688307424,0.010179944524690792,0.013123461215360984,0.01411938444824621,0.01431847901663616,0.010518764599889844,0.011867973037939322,0.010151396262081816
21,0.011329163215128602,0.013171540928363602,0.01325425069791843,0.009497018641681974,0.011373660373794075,0.00948026062742098,0.012591098054094748,0.013551687427538947,0.01369232970374976,0.009796324087965396,0.011105021893381018,0.009375303607559173
22,0.010882235093647758,0.01266860398676378,0.012712862395643088,0.008898925892512384,0.010703913859884263,0.008836048092273941,0.012087757527668067,0.01301481227507363,0.013101611845880818,0.009131129053215949,0.010399805463893092,0.00866578338454943
23,0.010458792711348806,0.012191695766873541,0.012200417509025998,0.008344850126155124,0.010081278361281754,0.008241884352546408,0.01161103822338365,0.012506207259613645,0.012543400538838284,0.008517584854089755,0.009746791220735015,0.008016060171995961
24,0.010056977589921206,0.011738752553148641,0.011714628341823847,0.007830725307025293,0.009501476643631667,0.007693030588658733,0.011158834717395415,0.012023635734237415,0.012015125943640513,0.007950802292435041,0.009141145229452538,0.00742021699141094
25,0.009675150186726307,0.011307955360438824,0.011253474797143673,0.007352977403052502,0.008960750740610226,0.007185321339455613,0.010729288944209112,0.011565124310218706,0.011514515547438986,0.007426483711178504,0.008578618353407647,0.006873058428064733
26,0.009311855408620014,0.01089769122359095,0.010815162425322019,0.0069084476281877595,0.00845578019624595,0.00671507593286808,0.010320751302388525,0.011128921412545881,0.011039547925440903,0.006940831607835999,0.008055455121770673,0.006370000446358549
27,0.008965794763222349,0.010506521952583118,0.010398088527332146,0.006494330359636286,0.007983616049545275,0.006279026697991982,0.009931749239630324,0.010713463809943223,0.010588415345004971,0.006490474564807809,0.00756832000403781,0.005906980792375551
28,0.008635803665709672,0.010133158684609931,0.01000081451737862,0.006108122453834602,0.0075416270320331266,0.005874260233771873,0.009560961648067917,0.010317349339205141,0.010159493244337224,0.006072406652581439,0.007114237207504946,0.005480385459439417
29,0.008320832791475568,0.009776440983974783,0.00962204319925516,0.005747581510808538,0.007127455340575755,0.00549816894497804,0.009207197819847609,0.009939314490811256,0.009751315111482044,0.005683937427403473,0.006690541092532442,0.005086987821763562
30,0.008019932634167648,0.009435319543854551,0.009260599937131238,0.005410691232469035,0.006738979991100429,0.005148410731966618,0.008869380016123442,0.009578215846104254,0.009362551646139703,0.005322650342406149,0.006294835006694763,0.004723897858261645
31,0.007732240625687399,0.009108841765972845,0.008915416940243608,0.005095632456077519,0.006374286228792893,0.004822875215221623,0.008546528924565951,0.009233014593048552,0.00899199334825877,0.0049863679014999825,0.005924956855298254,0.004388519487337041
32,0.007456970320736137,0.008796139658622769,0.008585520057914919,0.004800758766435242,0.006031639817810185,0.004519655241858472,0.008237751444911068,0.008902763522965243,0.008638535871114726,0.0046731222632332625,0.005578950107822033,0.004078514477554117
33,0.007193402257820816,0.008496419616574307,0.00827001761385718,0.0045245758314558255,0.005709465293270786,0.004237022695437673,0.007942230365221339,0.008586596041975262,0.008301167621768859,0.004381130284751798,0.0052550392256629245,0.00379177173215112
34,0.006940876191337026,0.008208953739499012,0.0079680909089957265,0.0042657237879935896,0.005406327454427698,0.003973407837839891,0.00765921558469286,0.008283716830235285,0.007978959201688078,0.0041087722100224015,0.004951608712597302,0.003526380997745619
35,0.006698784452499212,0.007933072416620678,0.007678986098638389,0.004022962143833589,0.005120915527481316,0.0037273815703665314,0.007388016609985228,0.007993393857918526,0.007671054364264311,0.003854573369956346,0.0046671851542270555,0.0032806102407087552
36,0.0064665662455380855,0.007668157960044208,0.007402007208827994,0.003795156768791533,0.004852029541540849,0.0034976401233197895,0.007127996106862456,0.007714951525339205,0.007376662230687786,0.003617188388057609,0.004400421739612479,0.003052886083809159
37,0.006243702723373619,0.007413639111727787,0.007136510102564601,0.0035812686309815117,0.0045985685505008375,0.0032829917782115836,0.006878564331509657,0.007447764740018458,0.007095050555925898,0.0033953874831448216,0.004150084856860331,0.002841776811863079
38,0.006029712716552109,0.007168986282335558,0.0068818972424811685,0.003380343999350167,0.0043595204033944224,0.0030823453010979853,0.006639174299221872,0.007191253779027961,0.006825539875955286,0.0031880445374154734,0.003915042431580685,0.002645977546300764
39,0.005824149012560273,0.006933707406438176,0.006637613124868666,0.0031915058848578305,0.004133952820769039,0.0028946998242233386,0.006409317574445988,0.0069448798129710726,0.006567498398478725,0.0029941266586800716,0.0036942537379585647,0.00246429726068035
40,0.0056265951011482615,0.006707344319350489,0.006403140282430715,0.0030139465334062623,0.003921005578250905,0.002719135959813554,0.006188520587027687,0.006708140990211784,0.006320337524053466,0.0028126850137367206,0.0034867604604951192,0.002295647366640157
41,0.005436662316092617,0.006489469577531491,0.006177995771120301,0.0028469208161610664,0.003719883633301184,0.002554807967197732,0.005976341396195854,0.006480568997743376,0.006083507904305707,0.002642846748386113,0.003291678823092567,0.0021390316458703568
