region,gender,count,ihme,ihme_plus,ihme_rehm,ihme_rehm_plus,ihme_zhao,ihme_zhao_plus
Australia,Female,24727,467.586165622892,1343.508549383051,923.6687817868085,1709.7700155617501,923.6687817868085,1709.7700155617501
Australia,Male,26505,2465.502141069697,3344.823588611265,2977.35768180654,4061.102428248149,3645.881097678909,3693.242780131313
Canada,Female,51164,242.817932732826,2472.559164353124,790.1233228001333,2928.4657057075115,790.1233228001333,2928.4657057075115
Canada,Male,55153,4941.431845916147,6787.448900752658,5669.761834734504,7961.248398802296,7238.9559742888205,7450.304096334979
