region,year,gender,age_group,im,outcome,af_entire_1
Canada,2007,w,15-34,_52,Mortality,0.11140179430729985
Canada,2007,w,15-34,_55,Mortality,0.2238774228773991
Canada,2007,w,15-34,_56,Mortality,-0.060042109982788715
Canada,2007,w,15-34,_57,Mortality,0.7159086451164942
Canada,2007,w,15-34,_62,Mortality,0.7159086451164942
Canada,2007,w,15-34,_63,Mortality,0.13916262266728266
Canada,2007,w,15-34,_11,Morbidity,0.2568565864814567
Canada,2007,w,15-34,_13,Morbidity,0.06071911002357822
Canada,2007,w,15-34,_21,Morbidity,0.3349744761464327
Canada,2007,w,15-34,_22,Morbidity,0.3840042300146004
Canada,2007,w,15-34,_26,Morbidity,0.19683660129933267
Canada,2007,w,15-34,_44,Morbidity,0.16698910502304953
Canada,2007,w,15-34,_45,Morbidity,0.16698910502304953
Canada,2007,w,15-34,_46,Morbidity,0.16698910502304953
Canada,2007,w,15-34,_47,Morbidity,0.16698910502304953
Canada,2007,w,15-34,_54,Morbidity,0.0746970071731383
Canada,2007,w,15-34,_64,Morbidity,0.31329896564754167
Canada,2007,w,15-34,_71,Morbidity,0.18146538744828597
Canada,2007,w,15-34,_81,Morbidity,0.1792683374140995
Canada,2007,w,15-34,_82,Morbidity,0.1792683374140995
Canada,2007,w,15-34,_83,Morbidity,0.1792683374140995
Canada,2007,w,15-34,_84,Morbidity,0.1792683374140995
Canada,2007,w,15-34,_85,Morbidity,0.1792683374140995
Canada,2007,w,15-34,_86,Morbidity,0.1792683374140995
Canada,2007,w,15-34,_91,Morbidity,0.22503086319244187
Canada,2007,w,15-34,_92,Morbidity,0.22503086319244187
Canada,2007,w,15-34,_93,Morbidity,0.22503086319244187
Canada,2007,w,15-34,_94,Morbidity,0.22503086319244187
Canada,2007,w,15-34,_95,Morbidity,0.22503086319244187
Canada,2007,w,15-34,_11,Mortality,0.2568565864814567
Canada,2007,w,15-34,_13,Mortality,0.06071911002357822
Canada,2007,w,15-34,_21,Mortality,0.3349744761464327
Canada,2007,w,15-34,_22,Mortality,0.3840042300146004
Canada,2007,w,15-34,_26,Mortality,0.19683660129933267
Canada,2007,w,15-34,_44,Mortality,0.16698910502304953
Canada,2007,w,15-34,_45,Mortality,0.16698910502304953
Canada,2007,w,15-34,_46,Mortality,0.16698910502304953
Canada,2007,w,15-34,_47,Mortality,0.16698910502304953
Canada,2007,w,15-34,_54,Mortality,0.0746970071731383
Canada,2007,w,15-34,_64,Mortality,0.31329896564754167
Canada,2007,w,15-34,_71,Mortality,0.18146538744828597
Canada,2007,w,15-34,_81,Mortality,0.1792683374140995
Canada,2007,w,15-34,_82,Mortality,0.1792683374140995
Canada,2007,w,15-34,_83,Mortality,0.1792683374140995
Canada,2007,w,15-34,_84,Mortality,0.1792683374140995
Canada,2007,w,15-34,_85,Mortality,0.1792683374140995
Canada,2007,w,15-34,_86,Mortality,0.1792683374140995
Canada,2007,w,15-34,_91,Mortality,0.22503086319244187
Canada,2007,w,15-34,_92,Mortality,0.22503086319244187
Canada,2007,w,15-34,_93,Mortality,0.22503086319244187
Canada,2007,w,15-34,_94,Mortality,0.22503086319244187
Canada,2007,w,15-34,_95,Mortality,0.22503086319244187
Canada,2008,m,15-34,_12,Morbidity,0.06664977277382579
Canada,2008,m,15-34,_23,Morbidity,0.22922041369415042
Canada,2008,m,15-34,_24,Morbidity,0.19108770373583586
Canada,2008,m,15-34,_25,Morbidity,0.08485662962560206
Canada,2008,m,15-34,_31,Morbidity,0.02993976008786283
Canada,2008,m,15-34,_51,Morbidity,0.23313512929042052
Canada,2008,m,15-34,_52,Morbidity,0.04740742245392397
